DateTime,dswrf,uswrf
'01-Jan-2017 01:30:00',0,0
'01-Jan-2017 04:30:00',0,0
'01-Jan-2017 07:30:00',0,0
'01-Jan-2017 10:30:00',0,0
'01-Jan-2017 13:30:00',187.5,51.125
'01-Jan-2017 16:30:00',462.5,83.1875
'01-Jan-2017 19:30:00',279.125,68.375
'01-Jan-2017 22:30:00',3.4375,2
'02-Jan-2017 01:30:00',0,0
'02-Jan-2017 04:30:00',0,0
'02-Jan-2017 07:30:00',0,0
'02-Jan-2017 10:30:00',0,0
'02-Jan-2017 13:30:00',149.3125,39.3125
'02-Jan-2017 16:30:00',241.5625,42.75
'02-Jan-2017 19:30:00',145.75,34.125
'02-Jan-2017 22:30:00',1.9375,1.0625
'03-Jan-2017 01:30:00',0,0
'03-Jan-2017 04:30:00',0,0
'03-Jan-2017 07:30:00',0,0
'03-Jan-2017 10:30:00',0,0
'03-Jan-2017 13:30:00',54,14.375
'03-Jan-2017 16:30:00',127.75,23
'03-Jan-2017 19:30:00',81.5625,19.25
'03-Jan-2017 22:30:00',1.125,0.625
'04-Jan-2017 01:30:00',0,0
'04-Jan-2017 04:30:00',0,0
'04-Jan-2017 07:30:00',0,0
'04-Jan-2017 10:30:00',0,0
'04-Jan-2017 13:30:00',89.9375,24.875
'04-Jan-2017 16:30:00',204.25,36.0625
'04-Jan-2017 19:30:00',150,35.25
'04-Jan-2017 22:30:00',2.6875,1.5
'05-Jan-2017 01:30:00',0,0
'05-Jan-2017 04:30:00',0,0
'05-Jan-2017 07:30:00',0,0
'05-Jan-2017 10:30:00',0,0
'05-Jan-2017 13:30:00',196.25,52.875
'05-Jan-2017 16:30:00',462.4375,81.375
'05-Jan-2017 19:30:00',269.3125,63.5625
'05-Jan-2017 22:30:00',4.0625,2.3125
'06-Jan-2017 01:30:00',0,0
'06-Jan-2017 04:30:00',0,0
'06-Jan-2017 07:30:00',0,0
'06-Jan-2017 10:30:00',0,0
'06-Jan-2017 13:30:00',36.9375,9.9375
'06-Jan-2017 16:30:00',120.375,21.0625
'06-Jan-2017 19:30:00',206.125,49.25
'06-Jan-2017 22:30:00',3.625,2
'07-Jan-2017 01:30:00',0,0
'07-Jan-2017 04:30:00',0,0
'07-Jan-2017 07:30:00',0,0
'07-Jan-2017 10:30:00',0,0
'07-Jan-2017 13:30:00',111,29.625
'07-Jan-2017 16:30:00',221.25,38.5
'07-Jan-2017 19:30:00',82.4375,17.5625
'07-Jan-2017 22:30:00',1.125,0.625
'08-Jan-2017 01:30:00',0,0
'08-Jan-2017 04:30:00',0,0
'08-Jan-2017 07:30:00',0,0
'08-Jan-2017 10:30:00',0,0
'08-Jan-2017 13:30:00',198.3125,52.5
'08-Jan-2017 16:30:00',419.75,72.5
'08-Jan-2017 19:30:00',232.9375,53
'08-Jan-2017 22:30:00',4.375,2.4375
'09-Jan-2017 01:30:00',0,0
'09-Jan-2017 04:30:00',0,0
'09-Jan-2017 07:30:00',0,0
'09-Jan-2017 10:30:00',0,0
'09-Jan-2017 13:30:00',205.625,54.5
'09-Jan-2017 16:30:00',490.9375,84.1875
'09-Jan-2017 19:30:00',286.875,64.25
'09-Jan-2017 22:30:00',2.75,1.5
'10-Jan-2017 01:30:00',0,0
'10-Jan-2017 04:30:00',0,0
'10-Jan-2017 07:30:00',0,0
'10-Jan-2017 10:30:00',0,0
'10-Jan-2017 13:30:00',158.5625,40.25
'10-Jan-2017 16:30:00',322.1875,54.625
'10-Jan-2017 19:30:00',188.1875,41.5
'10-Jan-2017 22:30:00',3.0625,1.6875
'11-Jan-2017 01:30:00',0,0
'11-Jan-2017 04:30:00',0,0
'11-Jan-2017 07:30:00',0,0
'11-Jan-2017 10:30:00',0,0
'11-Jan-2017 13:30:00',167.125,41.3125
'11-Jan-2017 16:30:00',482.5625,84.125
'11-Jan-2017 19:30:00',302.8125,69.5625
'11-Jan-2017 22:30:00',7.0625,4
'12-Jan-2017 01:30:00',0,0
'12-Jan-2017 04:30:00',0,0
'12-Jan-2017 07:30:00',0,0
'12-Jan-2017 10:30:00',0,0
'12-Jan-2017 13:30:00',66.1875,17.9375
'12-Jan-2017 16:30:00',161.6875,28.625
'12-Jan-2017 19:30:00',171.4375,43.25
'12-Jan-2017 22:30:00',6.875,3.875
'13-Jan-2017 01:30:00',0,0
'13-Jan-2017 04:30:00',0,0
'13-Jan-2017 07:30:00',0,0
