Site,Date,Phosphate_uM,NitrateNitrite_uM,Ammonia_uM,Nitrite_uM,Nitrate_uM_calculatedFromDifference,Notes
Rome Point,2/23/18,0.086698406,5.405621,2.137784294,0.2327324,5.1728886,
Rome Point,3/29/18,0.007436591,0.7570522,0.165698788,0.1527452,0.604307,
Rome Point,11/1/17,0.8032,2.033192,0.611700084,0.2485632,1.7846288,
Dredge,3/20/18,0.057703746,4.835633,0.424398784,0.2052368,4.6303962,
Fox Island,4/3/18,0.03803136,2.745677,0.154202301,0.2052368,2.5404402,
Fox Island,11/28/17,1.0212115,10.028857,3.32190935,0.7201544,9.3087026,
Rome Point,8/18/17,0.356467303,1.0626291,1.057322216,0.1760748,0.8865543,
Rome Point,1/11/18,0.0553875,0.6731373,0.172939455,0.1069192,0.5662181,
Rome Point,2/1/18,0.12858599,0.6636375,0.227937209,0.2010708,0.4625667,
Sled,4/11/18,0.013779334,4.123148,0.244583176,0.2618944,3.8612536,
Dredge,4/11/18,0.008589539,8.429724,0.276619104,0.197738,8.231986,
Dredge,1/24/18,0.035141365,0.449892,-0.086683136,0.1860732,0.2638188,
Sled,3/20/18,0.030518975,2.951506,0.917555944,0.1927388,2.7587672,
Wickford,3/29/18,-0.001782565,1.0214633,0.295856104,0.1527452,0.8687181,
Dredge,11/1/17,0.491077018,3.822321,5.1109106,0.276892,3.545429,
Wickford,8/18/17,0.314906735,0.8330506,0.739336406,0.1527452,0.6803054,
Sled,2/14/18,-0.009267322,6.925589,0.575015894,0.1702424,6.7553466,
Wickford,12/4/17,0.63150736,7.590575,1.595554496,0.5243524,7.0662226,
Wickford,2/23/18,0.082634519,7.321414,1.396035206,0.3127196,7.0086944,
Dredge,2/14/18,-0.000630601,5.61145,0.437281366,0.2377316,5.3737184,
Sled,11/1/17,0.419689179,6.102273,6.04804,0.3410484,5.7612246,
Sled,11/29/17,0.089021306,0.5670562,0.198294809,0.1827404,0.3843158,
Wickford,2/1/18,0.09948045,0.3343111,0.168467083,0.2277332,0.1065779,
Sled,1/24/18,0.022434535,1.1813766,0.200000098,0.2052368,0.9761398,
Wickford,1/11/18,0.118681467,0.6018888,0.210446984,0.193572,0.4083168,
Sled,4/22/18,0.010895807,8.049732,0.590116144,0.2535624,7.7961696,
Fox Island,4/21/18,0.023011794,0.3564773,0.349352992,0.189406,0.1670713,
Rome Point,4/21/18,0.047284518,0.5211405,0.349352992,0.1744084,0.3467321,
Wickford,4/21/18,0.082054086,0.5797226,0.338646464,0.2010708,0.3786518,
Fox Island,9/11/18,0.96479104,0.9359651,4.3856576,0.256062,0.6799031,
Rome Point,9/11/18,1.05896374,4.97813,3.391925,0.2110692,4.7670608,
Wickford,9/11/18,0.97104766,1.0626291,4.21828375,0.3193852,0.7432439,
Rome Point,8/8/18,0.63150736,0.3564773,0.184868864,0.243564,0.1129133,
Wickford,8/8/18,0.79702654,0.4372256,0.36,0.2027372,0.2344884,I used a single value here for amonia instead of the average to remove what Dawn was calling an Air Spike in the amonia
