SiteOG,Site,Line,OutplantingDate,SamplingDate,DaysOnFarm,Length,Width,Weight,C_mg,N_mg,Notes
Sled,Point Judith Pond N,1,12/12/18,12/12/18,0,0.84,,,,,Fake data added for the point of visualization
Sled,Point Judith Pond N,2,2/6/19,2/6/19,0,0.84,,,,,Fake data added for the point of visualization
Dredge,Point Judith Pond S,1,12/12/18,12/12/18,0,0.84,,,,,Fake data added for the point of visualization
Dredge,Point Judith Pond S,2,2/6/19,2/6/19,0,0.84,,,,,Fake data added for the point of visualization
Wickford,Narragansett Bay N,1,12/19/18,12/19/18,0,0.84,,,,,Fake data added for the point of visualization
Rome Pt.,Narragansett Bay S,1,12/20/18,12/20/18,0,0.84,,,,,Fake data added for the point of visualization
Rome Pt.,Narragansett Bay S,2,2/21/19,2/21/19,0,0.84,,,,,Fake data added for the point of visualization
Fox Island,Fox Island,1,12/20/18,2/6/19,49,8.7,2,0.011741179,28.35236548,1.201213899,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,5,1.2,0.004375754,12.70671935,0.552548371,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,7.7,1.5,0.009445281,23.75477725,1.012218693,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,6.2,1.5,0.006419931,17.35407459,0.747046276,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,3.7,1,0.002558726,8.213914914,0.362270669,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,2.5,0.9,0.001272382,4.654156408,0.209086623,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,3.2,0.8,0.001975448,6.655615434,0.295552492,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,7,1.7,0.007969904,20.69059413,0.885608566,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,2.6,0.8,0.001364492,4.926316187,0.220905735,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,6.6,1.1,0.007176549,18.99962653,0.815483079,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,2.5,0.8,0.001272382,4.654156408,0.209086623,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,2.9,0.9,0.001657607,5.770860824,0.257452047,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,3.2,1,0.001975448,6.655615434,0.295552492,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,8.1,1.9,0.010337337,25.56352233,1.086701716,
Fox Island,Fox Island,1,12/20/18,2/6/19,49,6,1.7,0.006055555,16.54882119,0.713480995,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,10,1.2,0.015048333,34.69172552,1.460206766,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,9.9,1.2,0.014781221,34.19017302,1.439775899,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,11,1.1,0.017834057,39.82941268,1.668963739,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,4.8,0.8,0.004068743,11.97690086,0.521812612,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,6.8,0.9,0.007568665,19.83952711,0.850338518,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,7.3,1.1,0.008588745,21.98774673,0.939275526,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,12.8,1.6,0.023363428,49.61044785,2.064061979,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,6.9,0.8,0.007768148,20.26367606,0.867922169,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,14.5,1.9,0.029177372,59.43580331,2.458398576,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,5.3,0.9,0.004854539,13.82616186,0.599582744,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,9.1,1.5,0.012720382,30.26055431,1.27935299,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,11.7,1.1,0.019906532,43.55391661,1.819746676,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,10.5,1.1,0.016415258,37.23309993,1.56358593,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,4.2,1,0.003207145,9.869931155,0.432722883,
Sled,Point Judith Pond N,1,12/12/18,2/6/19,57,7.7,1.4,0.009445281,23.75477725,1.012218693,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,10.9,2,0.017546173,39.30582327,1.647730978,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,12.7,2.3,0.023039159,49.0498285,2.041489607,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,15,2.4,0.030994384,62.42839016,2.578067605,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,19.5,3.2,0.049468651,91.30321145,3.724284775,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,9.5,2,0.013733836,32.20678734,1.358885458,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,19.5,2.5,0.049468651,91.30321145,3.724284775,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,12.2,2.2,0.021447744,46.27658433,1.929704631,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,9.4,1.6,0.013477279,31.7167122,1.33887369,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,6.6,1.5,0.007176549,18.99962653,0.815483079,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,9,1.4,0.012472357,29.7799043,1.259686151,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,9.1,2,0.012720382,30.26055431,1.27935299,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,6.5,1.2,0.006983932,18.5839212,0.798213158,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,5.9,1.4,0.005876878,16.15066714,0.69686536,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,10.1,1.8,0.015317542,35.19553508,1.480719932,
Dredge,Point Judith Pond S,1,12/12/18,2/6/19,57,5.1,1.2,0.004532924,13.07660745,0.568103864,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,44.8,3.5,0.21780398,304.7387936,11.95380404,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,31,3.4,0.113004289,178.7347495,7.133512905,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,37.6,3.7,0.159394426,236.4139444,9.350346717,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,30.4,2.2,0.109136272,173.7439634,6.940697564,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,23.8,2,0.070558368,121.8669417,4.924648641,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,16,1.8,0.034772042,68.54815285,2.822218096,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,25.1,3.2,0.077572352,131.6294674,5.305873775,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,7.6,1.3,0.009227801,23.30906199,0.99383666,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,30.8,2.6,0.111708384,177.0662908,7.069072911,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,41.7,3,0.191677369,274.6648252,10.81048318,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,23.6,2,0.069505245,120.3858362,4.866726995,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,27.1,2.4,0.088928234,147.0951671,5.907956682,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,12.6,1.8,0.022716881,48.4911877,2.018988572,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,29,2.6,0.100341739,162.2708834,6.496752909,
Wickford,Narragansett Bay N,1,12/19/18,2/11/19,56,21.3,1.7,0.057897638,103.7642967,4.215048348,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,49.2,3.6,0.257377278,349.0465385,13.63168151,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,41.6,4.4,0.190859027,273.7109284,10.77415468,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,49.6,5.2,0.261117956,353.165971,13.78731401,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,42,3.6,0.19414161,277.5326761,10.91967874,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,35.6,3.8,0.14460133,218.4122278,8.660585502,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,44,4.2,0.210921601,296.8853925,11.65561004,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,38.8,2.6,0.168572422,247.4247112,9.771391989,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,31.8,2.8,0.118253368,185.4568156,7.392939952,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,29.8,3.4,0.105327499,168.7972116,6.749406086,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,33.8,2.6,0.131831123,202.5938232,8.052960526,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,30,3,0.106590492,170.4412065,6.812999477,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,36.6,2.6,0.151918857,227.3578713,9.003571924,
Rome Pt.,Narragansett Bay S,1,12/20/18,2/21/19,64,30,2.6,0.106590492,170.4412065,6.812999477,
